EOA,lable,address_type
0x0000006e44274a26b471a6939965550ac8b8131e,Honeypots creators,EOA
0x000000db184c127f4ed48be7cbc3d75edfa5acfc,Honeypots creators,EOA
0x0022a370cdebaff99746b8a1311a8d9734bf3a28,Honeypots creators,EOA
0x0023ed0a8f43c2b80605b3acd21161972e1e41e0,Honeypots creators,EOA
0x0025b6528b858db284761cd41be356f579fdc7cd,Honeypots creators,EOA
0x005b79a5f64cf2077708c2b25855dcce3782d04e,Honeypots creators,EOA
0x0061d5848aff3efe4696e728ecf6ff6063e9cb81,Honeypots creators,EOA
0x0071b5966ca25dda3a028e7d2010e1e69822bab8,Honeypots creators,EOA
0x007444067b04f9c694fb585f37d43be76f841570,Honeypots creators,EOA
0x00745a8d197a120c34c9ac3383982a38c0ca95bd,Honeypots creators,EOA
0x007e85ff4d8fc8109a0bd8aa651825297480167e,Honeypots creators,EOA
0x008bea2b46c768fd005a630149d7fc0014e9249e,Honeypots creators,EOA
0x00b1431750b159a67fff0b59dddba8fd8831ba10,Honeypots creators,EOA
0x00bb585e7be7b095be9aba3c5777121c5ba7924a,Honeypots creators,EOA
0x00c1add06e6fdb41ab645b3ef660b5ddfcb863cb,Honeypots creators,EOA
0x00db1967c1741111dc212930f14a3f3edd02ba2d,Honeypots creators,EOA
0x00dddbf1b8c9f6cf814699a8f5d5348a601edd77,Honeypots creators,EOA
0x00fd0c19a2049b9a6aaeb086acbccbb31762e2bf,Honeypots creators,EOA
0x022ce60a24e9063f2942ea962b0fe1a1f98ac83b,Honeypots creators,EOA
0x0285ce753a35459fd21be7919d43222e96adc70e,Honeypots creators,EOA
0x0286cff84c1623eb3b6d70ea874714e512421da4,Honeypots creators,EOA
0x033b2a009055db86773defa90fbae679c826001b,Honeypots creators,EOA
0x0342e858974faad4ce0c5d9d3b2a14a4fe958d78,Honeypots creators,EOA
0x03716b2d50ea54921a650be124828a7328bc4d63,Honeypots creators,EOA
0x03bb0b6a0d0ca505d34fe48392bfd21043b204aa,Honeypots creators,EOA
0x0450168d015e62ac1d8debcac10c892c50471f76,Honeypots creators,EOA
0x048c558af866d9db24f7eba950e900001d62d99e,Honeypots creators,EOA
0x05002c585e4f00b6147baf8d43dead77cf6846b7,Honeypots creators,EOA
